,Name,Price,Location,Model_Year,Mileage,Fuel_Type,Transmission,Year,Price_per_Mile,Brand,Brand_Model,Fuel,County
1516,"VW T-Roc 2.0 TSI 4Motion / NYSERVAD, M-Värmare",234000,"a  ARLANDASTAD, Stockholm",Apr 2018,6320,2.0L Petrol,Automatic,2018,37.0253164556962,VW,VW T-Roc,Petrol,Stockholm
1517,"Skoda Fabia Kombi 1.0 TSI Style / NYSERVAD, CarPlay",101000,"13540, Stockholm",Jan 2017,11270,1.0L Petrol,Manual,2017,8.96184560780834,Skoda,Skoda Fabia,Petrol,Stockholm
1518,Toyota Corolla Touring Sports Hybrid e-CVT Active / NYSERVAD,164000,"a  ARLANDASTAD, Stockholm",Dec 2019,14480,1.8L Hybrid,Automatic,2019,11.32596685082873,Toyota,Toyota Corolla,Hybrid,Stockholm
1519,VW Golf VII 1.2 TSI,106000,"a  ARLANDASTAD, Stockholm",Oct 2016,10840,1.2L Petrol,Manual,2016,9.77859778597786,VW,VW Golf,Petrol,Stockholm
1520,BMW 530e iPerformance Sedan Steptronic Sport line / NYSERVAD,266000,"19561, Stockholm",Oct 2017,6880,2.0L Hybrid,Automatic,2017,38.66279069767442,BMW,BMW 530e,Hybrid,Stockholm
1521,"Nissan Qashqai 1.3 DIG-T DCT Acenta / NYSERVAD, Backkamera",211000,"a  ARLANDASTAD, Stockholm",Dec 2020,2960,1.3L Petrol,Automatic,2020,71.28378378378379,Nissan,Nissan Qashqai,Petrol,Stockholm
1522,"BMW 520 d xDrive Sedan Steptronic M Sport / NYSERVAD, 190HK",326000,"19561 Arlandastad, Stockholm",May 2020,10180,2.0L Diesel,Automatic,2020,32.02357563850688,BMW,BMW 520,Diesel,Stockholm
1523,"Volvo V40 D2 Momentum / Dragkrok, PDC-Bak",128000,"19561, Stockholm",Oct 2017,11370,2.0L Diesel,Manual,2017,11.25769569041337,Volvo,Volvo V40,Diesel,Stockholm
1524,"Kia Stonic 1.0 T-GDI Advance, Advance Plus / Backkamera",181000,"a  ARLANDASTAD, Stockholm",Dec 2019,3970,1.0L Petrol,Automatic,2019,45.5919395465995,Kia,Kia Stonic,Petrol,Stockholm
1525,Mitsubishi Outlander PHEV,197000,"19561, Stockholm",2018,10120,2.0L Hybrid,Automatic,2018,19.466403162055336,Mitsubishi,Mitsubishi Outlander,Hybrid,Stockholm
1526,Toyota Auris Touring Sports 1.2 Turbo Active Plus,112000,"19561, Stockholm",Jul 2016,13980,1.2L Petrol,Manual,2016,8.011444921316166,Toyota,Toyota Auris,Petrol,Stockholm
1527,BMW 330 3-serie i GT xDrive M Sport,239000,"19561, Stockholm",Jun 2018,8540,2.0L Petrol,Automatic,2018,27.985948477751755,BMW,BMW 330,Petrol,Stockholm
1528,"Audi Q5 40 TDI quattro S Tronic, S Line / Värmare, Dragkrok",324000,"19561 Arlandastad, Stockholm",Nov 2020,11090,2.0L Diesel,Automatic,2020,29.21550946798918,Audi,Audi Q5,Diesel,Stockholm
1529,"Kia Optima Sport Wagon 1.6 T-GDI DCT GT-Line / Värmare, PDC",211000,"a  ARLANDASTAD, Stockholm",May 2018,9050,1.6L Petrol,Automatic,2018,23.314917127071823,Kia,Kia Optima,Petrol,Stockholm
1530,VW Arteon Shooting Brake 2.0 TDI 4Motion / Dragkrok,294000,"Tyresö, Stockholm",Sep 2021,9950,2.0L Diesel,Automatic,2021,29.547738693467338,VW,VW Arteon,Diesel,Stockholm
1531,"Dacia Duster NYSERVAD, Dragkrok, PDC-Bak, Motorvärmare (kupéuttag)",114000,"19561 Arlandastad, Stockholm",Oct 2018,5300,1.6L Petrol,Manual,2018,21.50943396226415,Dacia,Dacia Duster,Petrol,Stockholm
1532,Renault Captur 0.9 TCe / 90HK,99000,"19561 Arlandastad, Stockholm",Jul 2016,4330,0.9L Petrol,Manual,2016,22.863741339491916,Renault,Renault Captur,Petrol,Stockholm
1533,"Peugeot 3008 GT HYBRID4 1.6 + 13.2 kWh AWD EAT / PDC, 300HK",255000,"19561 Arlandastad, Stockholm",Aug 2020,7140,1.6L Hybrid,Automatic,2020,35.714285714285715,Peugeot,Peugeot 3008,Hybrid,Stockholm
1534,"BMW X3 xDrive30e xLine / Dragkrok, CarPlay, 292HK",389000,"19561 Arlandastad, Stockholm",Mar 2020,7900,2.0L Hybrid,Automatic,2020,49.24050632911393,BMW,BMW X3,Hybrid,Stockholm
1535,Subaru Levorg 1.6 Lineartronic,167000,"19561, Stockholm",Nov 2015,10930,1.6L Petrol,Automatic,2015,15.279048490393413,Subaru,Subaru Levorg,Petrol,Stockholm
1536,"BMW X4 xDrive30i Steptronic M Sport / Dragkrok, M-Värmare",441000,"a  ARLANDASTAD, Stockholm",May 2019,5430,2.0L Petrol,Automatic,2019,81.21546961325967,BMW,BMW X4,Petrol,Stockholm
1537,"Kia Picanto 1.25 MPI / CarPlay, Rattvärme, Backkamera",116000,"13540 Tyresö, Stockholm",Feb 2018,5400,1.2L Petrol,Automatic,2018,21.48148148148148,Kia,Kia Picanto,Petrol,Stockholm
1538,"BMW 520 d xDrive Touring Steptronic M Sport / M-Värmare, PDC",301000,"13540 Tyresö, Stockholm",Jul 2020,10200,2.0L Diesel,Automatic,2020,29.50980392156863,BMW,BMW 520,Diesel,Stockholm
